condition,task,participant,trial,list_length,presentation_ms,presented_words,recalled_words,serial_position_score,presentation_start_time,presentation_end_time,recall_start_time
1A,free_recall,Selma,1,15,750,stop push make leaf coal rest used poor hope purr cell year soft iron dear,dear pull iron shirt,0 0 0 0 0 0 0 0 0 0 0 0 0 1 1,1788877275.288682,1788877286.73363,1788877286.733631
1A,free_recall,Selma,2,15,750,lift loan rule goat slip ugly jazz pain node blow farm upon mill bite time,mill bite time loan leaf mole cell jazz goat,0 1 0 1 0 0 1 0 0 0 0 0 1 1 1,1788877299.5587788,1788877310.850846,1788877310.850847
1A,free_recall,Selma,3,15,750,pure cook rain look band lift flag dead lens week mean lead here loan arch,here mean arch loan cook dead pure,1 1 0 0 0 0 0 1 0 0 1 0 1 1 1,1788877328.214628,1788877339.5103061,1788877339.510307
1A,free_recall,Selma,4,15,750,snow path tree oval mast thin form pure leaf wife deck rise band gill flag,gill flag wife lean dead boat,0 0 0 0 0 0 0 0 0 1 0 0 0 1 1,1788877358.347232,1788877369.640461,1788877369.6404622
1A,free_recall,Selma,5,15,750,food from cold roll male hiss real book list help wing edge join salt left,join salt left wife,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1,1788877409.935921,1788877421.237767,1788877421.237768
1A,free_recall,Selma,6,15,750,cork word seat oval germ cool spot over mine then roll bark fork bale talk,bale talk walk then leaf wife,0 0 0 0 0 0 0 0 0 1 0 0 0 1 1,1788877445.3101802,1788877456.60747,1788877456.607471
1A,free_recall,Selma,7,15,750,loud cost tail crop root burn seed free name sort tree cell both mast seem,mast semm sort three,0 0 0 0 0 0 0 0 0 1 0 0 0 1 0,1788877479.061953,1788877490.3564742,1788877490.3564749
1A,free_recall,Selma,8,15,750,from once mark gill mean door stem trap sand even note snow only when oven,when oven seem show loan open even,0 0 0 0 0 0 0 0 0 1 0 0 0 1 1,1788877521.823376,1788877533.110336,1788877533.110337
1A,free_recall,Selma,9,15,750,tall sand dark wire song fold flow last seem walk plan dust busy tide node,busy tide node seem,0 0 0 0 0 0 0 0 1 0 0 0 1 1 1,1788877551.003778,1788877562.298173,1788877562.298174
1A,free_recall,Selma,10,15,750,July host debt east time undo flat pipe pump well hunt hard late whip oval,hunt hide whip oval June,0 0 0 0 0 0 0 0 0 0 1 0 0 1 1,1788877585.604095,1788877596.901234,1788877596.901236
