condition,task,participant,trial,list_length,presentation_ms,presented_words,recalled_words,serial_position_score,presentation_start_time,presentation_end_time,recall_start_time
1B,free_recall,Katinka,1,15,1500,jury wing tame duct move lens fair once ugly book area form comb kind join,join comb fair once ugly kind door wing judge vote,0 1 0 0 0 0 1 1 1 0 0 0 1 1 1,1788878574.319588,1788878597.4550772,1788878609.4104815
1B,free_recall,Katinka,2,15,1500,milk deck bank coil clay play fume cost cast shut bomb fall tear lift wild,bank will lift clay play coil,0 0 1 1 1 1 0 0 0 0 0 0 0 1 0,1788878723.4629142,1788878746.3338218,1788878757.6666281
1B,free_recall,Katinka,3,15,1500,undo stop horn fowl lame each high ugly lime bent foot wall mind farm fume,fowl lime lame mind wall,0 0 0 1 1 0 0 0 1 0 0 1 1 0 0,1788878807.055448,1788878829.942035,1788878833.6146827
1B,free_recall,Katinka,4,15,1500,load yawn send life left line June here turn pool coil side care hard many,coil comb many yawn,0 1 0 0 0 0 0 0 0 0 1 0 0 0 1,1788878901.0025854,1788878923.8698187,1788878979.1702812
1B,free_recall,Katinka,5,15,1500,mine dead open flat cork wild some deep axis nest kiss area beat rock spot,flat mine dead spot rock beat area kiss axis,1 1 0 1 0 0 0 0 1 0 1 1 1 1 1,1788878986.1384377,1788879009.038641,1788879036.9906158
1B,free_recall,Katinka,6,15,1500,size cave five love much news part path mill dull drop when heat melt crop,heat melt crop mill love cave size path pine drop,1 1 0 1 0 0 0 1 1 0 1 0 1 1 1,1788879102.1875026,1788879125.0412204,1788879137.2361352
1B,free_recall,Katinka,7,15,1500,mean plan fact rest cell fume debt jury wood axis rule mind wide soup knee,soup trial mean plan fact cell rest axis rule,1 1 1 1 1 0 0 0 0 1 1 0 0 1 0,1788879242.0397851,1788879264.9147027,1788879281.2428014
1B,free_recall,Katinka,8,15,1500,copy call tree join late deep pain wave burn nice luck left beer plow make,wave plow beer luck wood tide,0 0 0 0 0 0 0 1 0 0 1 0 1 1 0,1788879549.4688032,1788879572.4003227,1788879584.2831216
1B,free_recall,Katinka,9,15,1500,June help path coal star goat pipe loud root rail rate turn mill mine four,mill mine rail June July goat star coal pipe fume,1 0 0 1 1 1 1 0 0 1 0 0 1 1 0,1788879649.0298283,1788879671.899075,1788879677.7331152
1B,free_recall,Katinka,10,15,1500,bone crop seem pool used soap even wild roll when neat neck area tame push,bone push move more pool soap even over lake,1 0 0 1 0 1 1 0 0 0 0 0 0 0 1,1788879787.4166505,1788879810.2944925,1788879815.9897373
