participant,trial,presented_words,recalled_words,serial_position_score,presentation_start_time,presentation_end_time,recall_start_time
Gustav,1,term mood duty navy coil busy food trap load rent post some thin volt half,term navy duty half,1 0 1 1 0 0 0 0 0 0 0 0 0 0 1,1789467863.399149,1789467886.2355142,1789467916.236534
Gustav,2,kind drop make ship that sale undo rain send envy flow tail yawn cafe work,kind make ship undo rain send envy flow,1 0 1 1 0 0 1 1 1 1 1 0 0 0 0,1789467945.659012,1789467968.222174,1789467998.223401
Gustav,3,help purr year nest unit navy visa fork iron tame tail bill band bang test,help purr year unit iron fork,1 1 1 0 1 0 0 1 1 0 0 0 0 0 0,1789468008.25719,1789468030.8342159,1789468060.835286
Gustav,4,each pain tear mill fear king wise axis roof dark mine dive ever late doll,pain each tear fear,1 1 1 0 1 0 0 0 0 0 0 0 0 0 0,1789468068.76335,1789468091.327064,1789468121.328131
Gustav,5,tube ship rich burn deep boot luck crop roof east heat lock jump horn seed,tube ship rich deep heat burn,1 1 1 1 1 0 0 0 0 0 1 0 0 0 0,1789468135.5175722,1789468158.0892842,1789468188.0903711
Gustav,6,word dull town cook with pair four each lung case pain fact acid beat tall,word dull town cook with pair four,1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,1789468201.037296,1789468223.6101508,1789468253.6113439
Gustav,7,line cool boat care town rain nice hunt mess pump have boot seat wool load,fine line rich boat rain nice city town,1 0 1 0 1 1 1 0 0 0 0 0 0 0 0,1789468262.0549178,1789468284.6138391,1789468314.614939
Gustav,8,ever mind girl spot nest walk roll neck hold song sign call list coal kiss,ever mind girl walk nest roll neck,1 1 1 0 1 1 1 1 0 0 0 0 0 0 0,1789468325.1993558,1789468347.756417,1789468377.757571
Gustav,9,bale very wing snow silk date boot page flat name slip June show coat sill,bale very wing snow show sill june,1 1 1 1 0 0 0 0 0 0 0 1 1 0 1,1789468388.4402208,1789468411.009429,1789468441.0106711
Gustav,10,well mess side flat mill some fair plan soup club same nail boot fork nice,well mess side fair plan flat nice,1 1 1 1 0 0 1 1 0 0 0 0 0 0 1,1789468449.908234,1789468472.470133,1789468502.471755
