participant,trial,presented_words,recalled_words,serial_position_score,presentation_start_time,presentation_end_time,recall_start_time
Katinka,1,word news room thin fish army tent debt nail time fume burn bale soft roll,soft bale tent word news burn nail fume,1 1 0 0 0 0 1 0 1 0 1 1 1 1 0,1788956108.1838262,1788956131.300881,1788956161.3020277
Katinka,2,sail hour each ship bird wave rail node side shoe thin near milk well free,thin each hour sail ship near rail soft wave bird over,1 1 1 1 1 1 1 0 0 0 1 1 0 0 0,1788956214.017163,1788956236.7697413,1788956266.7701614
Katinka,3,whip mast view bite tune keep jury back easy show long pure hurt lime sign,whip lime mast show pure hurt jury look soft soil,1 1 0 0 0 0 1 0 0 1 0 1 1 1 0,1788956345.6935642,1788956368.4827318,1788956398.4830701
Katinka,4,lens tide pain mean thin list salt whip vote dike fork step cafe jerk name,cafe jerk dike fork lens wave mean vote,1 0 0 1 0 0 0 0 1 1 1 0 1 1 0,1788956461.8368895,1788956484.5740864,1788956514.574767
Katinka,5,able once open part soup spot debt leaf when boot wind root iron clay fact,once able spot turn open tray,1 1 1 0 0 1 0 0 0 0 0 0 0 0 0,1788956572.1903841,1788956594.9017708,1788956624.9024081
Katinka,6,bang hole rise dust tube hire clay week busy bulb star card rest some walk,rest some walk rise tube clay bomb bang wall hole,1 1 1 0 1 0 1 0 0 0 0 0 1 1 1,1788957578.9500155,1788957601.6893606,1788957631.6898708
Katinka,7,into neat area boat seat mood from than ball milk down face cafe rule whip,down face whip rule cafe seat mood than neat boat shipsail area,0 1 1 1 1 1 0 1 0 0 1 1 1 1 1,1788957866.796223,1788957889.5164404,1788957919.516944
Katinka,8,each give rain dike care army fish rate walk idea easy deep bale knee crop,crop,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,1788958001.3469648,1788958024.1108851,1788958054.1111457
Katinka,9,card wall also foot cool doll fear seal ever flat fold base copy oval lame,lame oval fold base doll fall fail,0 0 0 0 0 1 0 0 0 0 1 1 0 1 1,1788958357.2643316,1788958380.016308,1788958410.0166929
Katinka,10,ugly post nose cork cafe salt date belt bale mist very unit line neat late,unit line bale cafe date dark pose,0 0 0 0 1 0 1 0 1 0 0 1 1 0 0,1788958446.5429163,1788958469.2579057,1788958499.2586875
