condition,task,participant,trial,list_length,presentation_ms,presented_words,recalled_words,serial_position_score,presentation_start_time,presentation_end_time,recall_start_time
1C,free_recall,Selma,1,15,1500,bill navy warm kind call rude town wash nail some volt meal pipe slip area,nail bill slip kind join wall taxi,1 0 0 1 0 0 0 0 1 0 0 0 0 1 0,1788878927.097305,1788878949.801007,1788878979.8022442
1C,free_recall,Selma,2,15,1500,unit hate mine keep dust able hire week duty blow undo cake bang shut plan,cake hold blow open,0 0 0 0 0 0 0 0 0 1 0 1 0 0 0,1788879007.345173,1788879029.900576,1788879059.901824
1C,free_recall,Selma,3,15,1500,even nine volt land bird lead vote cast silk gray ball lump help meal skin,help ball grey meal skin sick nine even park,1 1 0 0 0 0 0 0 0 0 1 0 1 1 1,1788879142.6980171,1788879165.248725,1788879195.249962
1C,free_recall,Selma,4,15,1500,tide sill dive hole show land July bird word sort burn town lake year test,hole bird dark lake year test,0 0 0 1 0 0 0 1 0 0 0 0 1 1 1,1788879268.1755588,1788879290.725141,1788879320.7264361
1C,free_recall,Selma,5,15,1500,beak mean upon load walk crop king tray used trap cusp open duct oven swim,king tray open oven wing load mode,0 0 0 1 0 0 1 1 0 0 0 1 0 1 0,1788879525.1301591,1788879547.681628,1788879577.682865
1C,free_recall,Selma,6,15,1500,neat lock only cusp card germ bill purr lift star cost lake beat kick free,money bill free purr yawn July,0 0 0 0 0 0 1 1 0 0 0 0 0 0 1,1788879654.816392,1788879677.3704162,1788879707.37166
1C,free_recall,Selma,7,15,1500,zinc mean rude hire long term face cart coat neck tame snow also rain crop,neck coat snow then rain card lake,0 0 0 0 0 0 0 0 1 1 0 1 0 1 0,1788879804.9402502,1788879827.494804,1788879857.496063
1C,free_recall,Selma,8,15,1500,wood hole melt hair soil body moon lens line when king nose path hand hill,wood soil dead king nose bail body,1 0 0 0 1 1 0 0 0 0 1 1 0 0 0,1788879919.8089888,1788879942.357357,1788879972.358588
1C,free_recall,Selma,9,15,1500,ship bite knot lump horn pool send able fowl nose once nest tide fold both,nose once nest tide both king load,0 0 0 0 0 0 0 0 0 1 1 1 1 0 1,1788880001.3645241,1788880023.91242,1788880053.913646
1C,free_recall,Selma,10,15,1500,home lamp gold mark rust mine both mast duty slow left send bark root whip,home gold lamp rust duty clean,1 1 1 0 1 0 0 0 1 0 0 0 0 0 0,1788880079.265693,1788880101.813492,1788880131.814702
